round,distance
0,10.0000
1,41.2000
2,57.4240
3,65.8605
4,70.2474
5,72.5287
6,73.7149
7,74.3318
8,74.6525
9,74.8193
10,74.9060
11,74.9511
12,74.9746
13,74.9868
14,74.9931
15,74.9964
16,74.9981
17,74.9990
18,74.9995
19,74.9997
20,74.9999
21,74.9999
22,75.0000
23,75.0000
24,75.0000
25,75.0000
26,75.0000
27,75.0000
28,75.0000
29,75.0000
30,75.0000
31,75.0000
32,75.0000
33,75.0000
34,75.0000
35,75.0000
36,75.0000
37,75.0000
38,75.0000
39,75.0000
40,75.0000
41,75.0000
42,75.0000
43,75.0000
44,75.0000
45,75.0000
46,75.0000
47,75.0000
48,75.0000
49,75.0000
50,75.0000
51,75.0000
52,75.0000
53,75.0000
54,75.0000
55,75.0000
56,75.0000
57,75.0000
58,75.0000
59,75.0000
60,75.0000
61,75.0000
62,75.0000
63,75.0000
64,75.0000
65,75.0000
66,75.0000
67,75.0000
68,75.0000
69,75.0000
70,75.0000
71,75.0000
72,75.0000
73,75.0000
74,75.0000
75,75.0000
76,75.0000
77,75.0000
78,75.0000
79,75.0000
80,75.0000
81,75.0000
82,75.0000
83,75.0000
84,75.0000
85,75.0000
86,75.0000
87,75.0000
88,75.0000
89,75.0000
90,75.0000
91,75.0000
92,75.0000
93,75.0000
94,75.0000
95,75.0000
96,75.0000
97,75.0000
98,75.0000
99,75.0000
100,75.0000
101,75.0000
102,75.0000
103,75.0000
104,75.0000
105,75.0000
106,75.0000
107,75.0000
108,75.0000
109,75.0000
110,75.0000
111,75.0000
112,75.0000
113,75.0000
114,75.0000
115,75.0000
116,75.0000
117,75.0000
118,75.0000
119,75.0000
120,75.0000
121,75.0000
122,75.0000
123,75.0000
124,75.0000
125,75.0000
126,75.0000
127,75.0000
128,75.0000
129,75.0000
130,75.0000
131,75.0000
132,75.0000
133,75.0000
134,75.0000
135,75.0000
136,75.0000
137,75.0000
138,75.0000
139,75.0000
140,75.0000
141,75.0000
142,75.0000
143,75.0000
144,75.0000
145,75.0000
146,75.0000
147,75.0000
148,75.0000
149,75.0000
150,75.0000
151,75.0000
152,75.0000
153,75.0000
154,75.0000
155,75.0000
156,75.0000
157,75.0000
158,75.0000
159,75.0000
160,75.0000
161,75.0000
162,75.0000
163,75.0000
164,75.0000
165,75.0000
166,75.0000
167,75.0000
168,75.0000
169,75.0000
170,75.0000
171,75.0000
172,75.0000
173,75.0000
174,75.0000
175,75.0000
176,75.0000
177,75.0000
178,75.0000
179,75.0000
180,75.0000
181,75.0000
182,75.0000
183,75.0000
184,75.0000
185,75.0000
186,75.0000
187,75.0000
188,75.0000
189,75.0000
190,75.0000
191,75.0000
192,75.0000
193,75.0000
194,75.0000
195,75.0000
196,75.0000
197,75.0000
